Day,Campaign,Device,Clicks,Impressions,Cost,Conversions
16-May-18,Search_India_Generic_BMM_Mobile,Tablet,2,34,₹53.04,0
8-May-18,Search_Mumbai_Brand_Exact_Mobile,Tablet,0,1,₹0.00,0
16-May-18,RLSA_India_Generic_BMM_Desktop,Desktop,43,"1,036","₹1,640.06",5
21-May-18,Display_India_KCT_Large_Cap_Fund,Desktop,56,"44,105",₹693.20,3
12-May-18,Search_India_Generic_Tax_Saving_Exact_Mobile,Mobile,5,115,₹158.59,0
19-May-18,Search_Mumbai_Brand_Exact_Mobile,Tablet,3,8,₹39.43,3
18-May-18,Search_India_Brand_Exact_Desktop,Desktop,509,"4,153","₹9,591.60",90
11-May-18,Search_India_Generic_BMM_Mobile,Mobile,34,524,"₹1,045.86",7
10-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Mobile,10,129,₹208.17,0
19-May-18,Search_Top_Performing_Brand_Exact_Mobile,Mobile,145,493,"₹3,046.10",24
11-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Desktop,2,66,₹55.79,0
15-May-18,Search_Mumbai_Brand_Exact_Mobile,Mobile,54,240,"₹1,520.44",11
12-May-18,Search_Bengaluru_Brand_Exact_Mobile,Mobile,17,66,₹499.85,3
19-May-18,Search_India_Brand_Exact_Desktop,Desktop,268,"1,932","₹5,362.72",50
14-May-18,Search_India_Brand_Exact_Desktop,Desktop,376,"3,109","₹8,328.68",45
11-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Mobile,15,245,₹315.08,0
16-May-18,Search_Bengaluru_Brand_Exact_Mobile,Mobile,67,264,"₹1,320.15",10
10-May-18,Search_India_Generic_BMM_Mobile,Tablet,0,21,₹0.00,0
19-May-18,Search_India_Brand_BMM_Mobile,Mobile,514,"4,409","₹10,846.27",54
22-May-18,Search_India_Competition_Exact_Mobile,Tablet,0,31,₹0.00,0
16-May-18,RLSA_India_Brand_BMM_Mobile,Tablet,0,6,₹0.00,0
11-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Tablet,1,5,₹29.52,0
