"Report Name: Bing_Raw"
"Report Time: 1/2/2017,4/11/2017"
"Time Zone: (GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi"
"Last Completed Available Day: 5/11/2017 4:35:00 AM (GMT)"
"Last Completed Available Hour: 5/11/2017 4:35:00 AM (GMT)"
"Report Aggregation: Day"
"Report Filter: "
"Rows: 3473"

"Gregorian date","Account name","Device type","Campaign name","Ad distribution","Impressions","Clicks","Spend","Conversions"
"2017-03-23","DSP Blackrock","Computer","Search_PAN_India_Brand_BMM_Desktop","Search","72","5","36.76","0"
"2017-03-23","DSP Blackrock","Computer","Search_PAN_India_Brand_Exact_Desktop","Search","47","13","74.85","1"
"2017-03-23","DSP Blackrock","Computer","Search_PAN_India_ELSS_BMM_Desktop","Search","31","0","0.00","0"
"2017-03-23","DSP Blackrock","Computer","Search_PAN_India_ELSS_Exact_Desktop","Search","34","0","0.00","0"
"2017-03-23","DSP Blackrock","Smartphone","Search_PAN_India_Brand_BMM_Desktop","Search","35","3","27.40","0"
"2017-03-23","DSP Blackrock","Smartphone","Search_PAN_India_Brand_Exact_Desktop","Search","11","1","3.34","0"
"2017-03-23","DSP Blackrock","Smartphone","Search_PAN_India_ELSS_BMM_Desktop","Search","32","0","0.00","0"
"2017-03-23","DSP Blackrock","Smartphone","Search_PAN_India_ELSS_Exact_Desktop","Search","76","2","13.37","0"
"2017-03-23","DSP Blackrock","Tablet","Search_PAN_India_Brand_Exact_Desktop","Search","2","1","19.38","0"
"2017-03-23","DSP Blackrock","Tablet","Search_PAN_India_ELSS_BMM_Desktop","Search","1","0","0.00","0"
"2017-03-23","DSP Blackrock","Tablet","Search_PAN_India_ELSS_Exact_Desktop","Search","1","0","0.00","0"
"2017-03-24","DSP Blackrock","Computer","Search_PAN_India_Brand_BMM_Desktop","Search","221","16","89.55","0"
"2017-03-24","DSP Blackrock","Computer","Search_PAN_India_Brand_Exact_Desktop","Search","186","20","122.30","1"
"2017-03-24","DSP Blackrock","Computer","Search_PAN_India_ELSS_BMM_Desktop","Search","74","4","97.57","0"
"2017-03-24","DSP Blackrock","Computer","Search_PAN_India_ELSS_Exact_Desktop","Search","108","3","68.17","0"
"2017-03-24","DSP Blackrock","Smartphone","Search_PAN_India_Brand_BMM_Desktop","Search","80","12","66.83","1"
"2017-03-24","DSP Blackrock","Smartphone","Search_PAN_India_Brand_Exact_Desktop","Search","45","11","84.21","0"
"2017-03-24","DSP Blackrock","Smartphone","Search_PAN_India_ELSS_BMM_Desktop","Search","68","4","36.72","0"
"2017-03-24","DSP Blackrock","Smartphone","Search_PAN_India_ELSS_Exact_Desktop","Search","78","3","18.71","0"
"2017-03-24","DSP Blackrock","Tablet","Search_PAN_India_Brand_BMM_Desktop","Search","1","0","0.00","0"
"2017-03-24","DSP Blackrock","Tablet","Search_PAN_India_ELSS_BMM_Desktop","Search","4","1","18.04","0"
"2017-03-24","DSP Blackrock","Tablet","Search_PAN_India_ELSS_Exact_Desktop","Search","4","0","0.00","0"
"2017-03-25","DSP Blackrock","Computer","Search_PAN_India_Brand_BMM_Desktop","Search","173","9","24.73","1"
"2017-03-25","DSP Blackrock","Computer","Search_PAN_India_Brand_Exact_Desktop","Search","192","17","80.86","6"
"2017-03-25","DSP Blackrock","Computer","Search_PAN_India_ELSS_BMM_Desktop","Search","85","9","152.37","0"
"2017-03-25","DSP Blackrock","Computer","Search_PAN_India_ELSS_Exact_Desktop","Search","146","4","88.88","0"
"2017-03-25","DSP Blackrock","Smartphone","Search_PAN_India_Brand_BMM_Desktop","Search","56","4","13.37","0"
"2017-03-25","DSP Blackrock","Smartphone","Search_PAN_India_Brand_Exact_Desktop","Search","32","7","82.20","0"
"2017-03-25","DSP Blackrock","Smartphone","Search_PAN_India_ELSS_BMM_Desktop","Search","61","3","12.03","0"
"2017-03-25","DSP Blackrock","Smartphone","Search_PAN_India_ELSS_Exact_Desktop","Search","105","2","6.01","0"
"2017-03-25","DSP Blackrock","Tablet","Search_PAN_India_Brand_BMM_Desktop","Search","1","0","0.00","0"
"2017-03-25","DSP Blackrock","Tablet","Search_PAN_India_ELSS_BMM_Desktop","Search","2","0","0.00","0"
"2017-03-25","DSP Blackrock","Tablet","Search_PAN_India_ELSS_Exact_Desktop","Search","1","0","0.00","0"
"2017-03-26","DSP Blackrock","Computer","Search_PAN_India_Brand_BMM_Desktop","Search","88","9","28.74","1"
"2017-03-26","DSP Blackrock","Computer","Search_PAN_India_Brand_Exact_Desktop","Search","161","19","78.86","6"
"2017-03-26","DSP Blackrock","Computer","Search_PAN_India_ELSS_BMM_Desktop","Search","61","3","72.18","0"
"2017-03-26","DSP Blackrock","Computer","Search_PAN_India_ELSS_Exact_Desktop","Search","91","8","181.78","1"
"2017-03-26","DSP Blackrock","Smartphone","Search_PAN_India_Brand_BMM_Desktop","Search","49","3","18.67","0"
"2017-03-26","DSP Blackrock","Smartphone","Search_PAN_India_Brand_Exact_Desktop","Search","17","9","54.80","0"
